serial,title_eng,title_chi,language,author,detailed_authorship,publisher,ISBN_1,ISSN_1,medium_1,price_1_currency,price_1,ISBN_2,ISSN_2,medium_2,price_2_currency,price_2,location_of_publication,year_of_publication,format,details,edition
2009-05744,ECO-TEK HOLDINGS LIMITED Eco-Tek Holdings Limited interim report 2009,環康集團有限公司中期報告2009,English,,,Eco-Tek Holdings Limited,,,,,,,,,,,Hong Kong,2009,"29, 29 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2009-03456,ECOGREEN FINE CHEMICALS GROUP LIMITED EcoGreen Fine Chemicals Group Limited 2008 annual report,中怡精細化工集團有限公司2008年報,English,,,EcoGreen Fine Chemicals Group Limited,,,,,,,,,,,Hong Kong,2009,132 p. : col. ill. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2009-03455,"ECOGREEN FINE CHEMICALS GROUP LIMITED EcoGreen Fine Chemicals Group Limited proposals for general mandates to issue and to repurchase shares, re-election of directors and notice of 2009 annual general meeting, 23 April 2009","中怡精細化工集團有限公司建議發行及購回股份之一般授權、董事膺選連任及二零零九年股東週年大會通告,二零零九年四月二十三日",English,,,EcoGreen Fine Chemicals Group Limited,,,,,,,,,,,Hong Kong,2009,"14, 14 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-04319,EFORCE HOLDINGS LIMITED eForce Holdings Limited 2008 annual report,意科控股有限公司2008年報,English,,,eForce Holdings Limited,,,,,,,,,,,Hong Kong,2009,"88, 88 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-03016,"EGAN, Susan Chan A pragmatist and his free spirit",,English,"Susan Chan Egan, Chih-p’ing Chou",,The Chinese University Press,978-962-996-341-5,,pbk.,$,190.00,,,,,,Hong Kong,2009,"xv, 523 p. : ill. ; 21 cm.",Includes index,
2009-05585,EGYPT : a promising market in North Africa,,English,,"[compiled by Research Department, Hong Kong Trade Development Council]",Hong Kong Trade Development Council,978-988-18209-9-0,,pbk.,$,200.00,,,,,,Hong Kong,2009,"99 p. : map, col. charts ; 26 cm.",HKTDC research,
2009-02983,ELECTRICAL AND MECHANICAL SERVICES DEPARTMENT Code of practice for the electricity (wiring) regulations,,English,,,Electrical and Mechanical Services Department,,,,,,,,,,,Hong Kong,2009,338 p. : ill. (some col.) ; 21 cm.,Includes index $32.00 (pbk.),2009 ed.
2009-05370,ELECTRICAL installation terms explained,電氣裝置技術英漢名詞釋義,English,,edited by Johnny C.F. Wong,Hong Kong and Kowloon Electrical Engineering and Appliances Trade Workers Union,978-962-7358-30-5,,pbk.,$,100.00,,,,,,Hong Kong,2009,130 p. ; 21 cm.,Text in Chinese and English,
2009-05201,Middlemarch,,English,George Eliot,,Pearson Education Limited,978-1-4082-1726-9,,pbk.,,Unpriced,,,,,,Essex,2009,168 p. ; 21 cm.,York notes advanced,
2009-03732,EMBRY HOLDINGS LIMITED Embry Holdings Limited 2008 annual report,安莉芳控股有限公司2008年報,English,,,Embry Holdings Limited,,,,,,,,,,,Hong Kong,2009,"162 p. : col. ill., map, charts ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-05012,ENGLISH assorted practices and mock papers for TSA. Primary 1,,English,,edited by Debbie Hui,Pan Lloyds Publishers Limited,978-988-8022-15-1,,pbk.,$,60.00,,,,,,Hong Kong,2009,44 p. : col. ill. ; 29 cm.,+ 1 CD-ROM + 3 sets of reading & writing booklets + 1 answer key + 1 barcode label sheet,Enriched ed.
2009-05013,ENGLISH assorted practices and mock papers for TSA. Primary 2,,English,,edited by Debbie Hui,Pan Lloyds Publishers Limited,978-988-8022-16-8,,pbk.,$,60.00,,,,,,Hong Kong,2009,44 p. : col. ill. ; 29 cm.,+ 1 CD-ROM + 3 sets of reading & writing booklets + 1 answer key + 1 barcode label sheet,Enriched ed.
2009-05014,ENGLISH assorted practices and mock papers for TSA. Primary 3,,English,,edited by Debbie Hui,Pan Lloyds Publishers Limited,978-988-8022-17-5,,pbk.,$,60.00,,,,,,Hong Kong,2009,44 p. : col. ill. ; 29 cm.,+ 1 CD-ROM + 3 sets of reading & writing booklets + 1 answer key + 1 barcode label sheet,Enriched ed.
2009-05015,ENGLISH assorted practices and mock papers for TSA. Primary 4,,English,,edited by Debbie Hui,Pan Lloyds Publishers Limited,978-988-8022-18-2,,pbk.,$,60.00,,,,,,Hong Kong,2009,44 p. : col. ill. ; 29 cm.,+ 1 CD-ROM + 3 sets of reading & writing booklets + 1 answer key + 1 barcode label sheet,Enriched ed.
2009-05016,ENGLISH assorted practices and mock papers for TSA. Primary 5,,English,,edited by Debbie Hui,Pan Lloyds Publishers Limited,978-988-8022-19-9,,pbk.,$,60.00,,,,,,Hong Kong,2009,44 p. : col. ill. ; 29 cm.,+ 1 CD-ROM + 3 sets of reading & writing booklets + 1 answer key + 1 barcode label sheet,Enriched ed.
2009-05017,ENGLISH assorted practices and mock papers for TSA. Primary 6,,English,,edited by Debbie Hui,Pan Lloyds Publishers Limited,978-988-8022-20-5,,pbk.,$,60.00,,,,,,Hong Kong,2009,44 p. : col. ill. ; 29 cm.,+ 1 CD-ROM + 3 sets of reading & writing booklets + 1 answer key + 1 barcode label sheet,Enriched ed.
2009-05018,ENGLISH assorted practices for TSA. 1A,,English,,edited by Sandy Chan ; illustrated by B. Lai,Pan Lloyds Publishers Limited,978-988-8022-83-0,,pbk.,$,50.00,,,,,,Hong Kong,2009,72 p. : col. ill. ; 29 cm.,+ 1 CD-ROM + answer key + 1 barcode label sheet,Enriched ed.
2009-05019,ENGLISH assorted practices for TSA. 2A,,English,,edited by Sandy Chan ; illustrated by Jady Wong,Pan Lloyds Publishers Limited,978-962-8954-43-8,,pbk.,$,50.00,,,,,,Hong Kong,2009,72 p. : col. ill. ; 29 cm.,+ 1 CD-ROM + answer key + 2 barcode label sheets,Enriched ed.
2009-05020,ENGLISH assorted practices for TSA. 3A,,English,,edited by Sandy Chan ; illustrated by Jady Wong,Pan Lloyds Publishers Limited,978-962-8954-44-5,,pbk.,$,50.00,,,,,,Hong Kong,2009,72 p. : col. ill. ; 29 cm.,+ 1 CD-ROM + answer key + 1 barcode label sheet,Enriched ed.
2009-05021,ENGLISH assorted practices for TSA. 4A,,English,,edited by Sandy Chan ; illustrated by Tsang Hin Chiu,Pan Lloyds Publishers Limited,978-962-8954-45-2,,pbk.,$,50.00,,,,,,Hong Kong,2009,72 p. : col. ill. ; 29 cm.,+ 1 CD-ROM + answer key + 1 barcode label sheet,Enriched ed.
2009-05022,ENGLISH assorted practices for TSA. 5A,,English,,edited by Sandy Chan ; illustrated by Tsang Hin Chiu,Pan Lloyds Publishers Limited,978-962-8954-46-9,,pbk.,$,50.00,,,,,,Hong Kong,2009,72 p. : col. ill. ; 29 cm.,+ 1 CD-ROM + answer key + 1 barcode label sheet,Enriched ed.
2009-05023,ENGLISH assorted practices for TSA. 6A,,English,,edited by Sandy Chan ; illustrated by Tsang Hin Chiu,Pan Lloyds Publishers Limited,978-962-8954-47-6,,pbk.,$,50.00,,,,,,Hong Kong,2009,72 p. : col. ill. ; 29 cm.,+ 1 CD-ROM + answer key + 1 barcode label sheet,Enriched ed.
2009-05605,ENGLISH exercises for brilliancy. 1A,,English,,,Smart Tutorial Limited,978-962-371-360-3,,pbk.,$,45.00,,,,,,Hong Kong,2007,77 p. : ill. ; 29 cm.,+ 1 audio-CD + answer key and tapescript (Smarty Tutorial territory-wide system assessment),
2009-05606,ENGLISH exercises for brilliancy. 1B,,English,,,Smart Tutorial Limited,978-962-371-361-0,,pbk.,$,45.00,,,,,,Hong Kong,2007,75 p. : ill. ; 29 cm.,+ 1 audio-CD + answer key and tapescript (Smarty Tutorial territory-wide system assessment),
2009-05607,ENGLISH exercises for brilliancy. 2A,,English,,,Smart Tutorial Limited,978-962-371-362-7,,pbk.,$,45.00,,,,,,Hong Kong,2007,78 p. : ill. ; 29 cm.,+ 1 audio-CD + answer key and tapescript (Smarty Tutorial territory-wide system assessment),
2009-05608,ENGLISH exercises for brilliancy. 2B,,English,,,Smart Tutorial Limited,978-962-371-363-4,,pbk.,$,45.00,,,,,,Hong Kong,2007,78 p. : ill. ; 29 cm.,+ 1 audio-CD + answer key and tapescript (Smarty Tutorial territory-wide system assessment),
2009-05609,ENGLISH exercises for brilliancy. 3A,,English,,,Smart Tutorial Limited,978-962-371-364-1,,pbk.,$,45.00,,,,,,Hong Kong,2007,99 p. : ill. ; 29 cm.,+ 1 audio-CD + answer key and tapescript (Smarty Tutorial territory-wide system assessment),
2009-05610,ENGLISH exercises for brilliancy. 4A,,English,,,Smart Tutorial Limited,978-962-371-366-5,,pbk.,$,45.00,,,,,,Hong Kong,2007,92 p. : ill. ; 29 cm.,+ 1 audio-CD + answer key and tapescript (Smarty Tutorial territory-wide system assessment),
2009-05611,ENGLISH exercises for brilliancy. 5A,,English,,,Smart Tutorial Limited,978-962-371-368-9,,pbk.,$,45.00,,,,,,Hong Kong,2007,93 p. : ill. ; 29 cm.,+ 1 audio-CD + answer key and tapescript (Smarty Tutorial territory-wide system assessment),
2009-05612,ENGLISH exercises for brilliancy. 5B,,English,,,Smart Tutorial Limited,978-962-371-369-6,,pbk.,$,45.00,,,,,,Hong Kong,2007,94 p. : ill. ; 29 cm.,+ 1 audio-CD + answer key and tapescript (Smarty Tutorial territory-wide system assessment),
2009-05613,ENGLISH exercises for brilliancy. 6A,,English,,,Smart Tutorial Limited,978-962-371-370-2,,pbk.,$,45.00,,,,,,Hong Kong,2007,91 p. : ill. ; 29 cm.,+ 1 audio-CD + answer key and tapescript (Smarty Tutorial territory-wide system assessment),
2009-03797,ENGLISH grammar so easy. 1B,活學英文文法. 1B,English,C. Lee,,Sun Ya Elite Education,978-988-17669-8-4,,pbk.,$,40.00,,,,,,Hong Kong,2009,62 p. : col. ill. ; 29 cm.,Text partially in Chinese,
2009-03798,ENGLISH grammar so easy. 2B,活學英文文法. 2B,English,C. Lee,,Sun Ya Elite Education,978-988-17669-9-1,,pbk.,$,40.00,,,,,,Hong Kong,2009,62 p. : col. ill. ; 29 cm.,Text partially in Chinese,
2009-03799,ENGLISH grammar so easy. 3B,活學英文文法. 3B,English,C. Lee,,Sun Ya Elite Education,978-988-17669-0-8,,pbk.,$,40.00,,,,,,Hong Kong,2009,62 p. : col. ill. ; 29 cm.,Text partially in Chinese,
2009-03800,ENGLISH grammar so easy. 4B,活學英文文法. 4B,English,C. Lee,,Sun Ya Elite Education,978-988-17938-1-2,,pbk.,$,40.00,,,,,,Hong Kong,2009,62 p. : col. ill. ; 29 cm.,Text partially in Chinese,
2009-03801,ENGLISH grammar so easy. 5B,活學英文文法. 5B,English,C. Lee,,Sun Ya Elite Education,978-988-17938-2-9,,pbk.,$,40.00,,,,,,Hong Kong,2009,62 p. : col. ill. ; 29 cm.,Text partially in Chinese,
2009-03802,ENGLISH grammar so easy. 6B,活學英文文法. 6B,English,C. Lee,,Sun Ya Elite Education,978-988-17938-3-6,,pbk.,$,40.00,,,,,,Hong Kong,2009,62 p. : col. ill. ; 29 cm.,Text partially in Chinese,
2009-03190,ENVIRO ENERGY INTERNATIONAL HOLDINGS LIMITED Enviro Energy International Holdings Limited annual report 2008,環能國際控股有限公司2008年報,English,,,Enviro Energy International Holdings Limited,,,,,,,,,,,Hong Kong,2009,"86, 86 p. : col. ill., col. ports, maps ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-04771,ENVIRONMENTAL impact assessment in China,,English,,"edited by Zhu Tan, Lam Kin-che","The Chinese University of Hong Kong, Centre of Strategic Environmental Assessment for China",978-988-97957-9-5,,pbk.,,Unpriced,,,,,,Hong Kong,2009,"VII, 75 p. : charts ; 24 cm.",Includes bibliographical references,
2009-04573,ESTATE AGENTS AUTHORITY Inquiry hearing cases. A selection III,紀律研訊案例選輯.第三輯,English,,,Estate Agents Authority,978-988-17258-3-7,,pbk.,$,20.00,,,,,,Hong Kong,2008,71 p. ; 21 cm.,Text in Chinese and English,
2009-05005,ESTATE AGENTS AUTHORITY Inquiry hearing cases. A selection IV,紀律研訊案例選輯.第四輯,English,,,Estate Agents Authority,978-988-17258-4-4,,pbk.,$,20.00,,,,,,Hong Kong,2009,39 p. ; 21 cm.,Text in Chinese and English,
2009-04304,ESUN HOLDINGS LIMITED eSun Holdings Limited annual report 2008,豐德麗控股有限公司2008年報,English,,,eSun Holdings Limited,,,,,,,,,,,Hong Kong,2009,"144, 144 p. : col. ill., col. ports, charts ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-04299,EVER FORTUNE INTERNATIONAL HOLDINGS LIMITED Ever Fortune International Holdings Limited 2008,連發國際股份有限公司二零零八年年報,English,,,Ever Fortune International Holdings Limited,,,,,,,,,,,Hong Kong,2009,"86, 86 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-03026,EVERPRIDE BIOPHARMACEUTICAL COMPANY LIMITED Everpride Biopharmaceutical Company Limited annual report 2008,中遠威生物製藥有限公司2008年報,English,,,Everpride Biopharmaceutical Company Limited,,,,,,,,,,,Hong Kong,2009,"72, 72 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-02686,Portfolio : thirty-eight facisimiles of Fang Zhaoling paintings,,English,"FANG, Zhaoling",,Hong Kong University Press,962-209-127-X,,pbk.,$,168.00,978-962-209-127-6,,pbk.,$,168.00,Hong Kong,1985,38 p. : col. ill. ; 43 cm.,,
2009-03625,FAST SYSTEMS TECHNOLOGY (HOLDINGS) LIMITED Fast Systems Technology (Holdings) Limited annual report 2008,東光集團有限公司年報2008,English,,,Fast Systems Technology (Holdings) Limited,,,,,,,,,,,Hong Kong,2009,"84, 84 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-05204,Birdsong,,English,Sebastian Faulks,,Pearson Education Limited,978-1-4082-1727-6,,pbk.,,Unpriced,,,,,,Essex,2009,135 p. ; 21 cm.,York notes advanced,
2009-03191,FAVA INTERNATIONAL HOLDINGS LIMITED Fava International Holdings Limited annual report 2008,名家國際控股有限公司2008年報,English,,,Fava International Holdings Limited,,,,,,,,,,,Hong Kong,2009,"100, 100 p. : col. ill., charts ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-03722,The sea was calm behind your house,,English,"FERNANDO, Basil",poems by Basil Fernando,Basil Fernando,978-988-18260-1-5,,pbk.,,Unpriced,,,,,,Hong Kong,2009,108 p. : col. ill. ; 21 cm.,,
2009-02981,"FINANCIAL SERVICES AND THE TREASURY BUREAU Hong Kong Inland Revenue Board of review decisions (2008-09). Vol. 23, First supplement",,English,,,Financial Services and the Treasury Bureau,,,,,,,,,,,Hong Kong,2009,205-529 p. ; 24 cm.,Text partially in Chinese $382.00 (pbk.),
2009-04312,FINTRONICS HOLDINGS COMPANY LIMITED Fintronics Holdings Company Limited annual report 2008,銀創控股有限公司年報2008,English,,,Fintronics Holdings Company Limited,,,,,,,,,,,Hong Kong,2009,"96, 96 p. : charts ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-04157,The FIRST Chinese astronaut,中國人上太空,English,,,The Hong Kong Federation of Youth Groups,978-962-8956-77-7,,pbk.,$,30.00,,,,,,Hong Kong,2008,33 p. ; 30 cm.,(Youth poll series ; no. 120) Text in Chinese and English,
2009-04596,FIRST MOBILE GROUP HOLDINGS LIMITED First Mobile Group Holdings Limited annual report 2008,第一電訊集團有限公司二零零八年報,English,,,First Mobile Group Holdings Limited,,,,,,,,,,,Hong Kong,2009,"78, 78 p. : col. ill., charts ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-05307,FLEXIBOL : bollard & railing system for changing urban needs,,English,,edited by K.W. Michael Siu,"The Hong Kong Polytechnic University, School of Design",978-988-18341-3-3,,pbk.,,Unpriced,,,,,,Hong Kong,2009,45 p. : ill. (chiefly col.) ; 19 x 20 cm.,,
2009-04283,Fran and the nap. 2,,English,"FOGLEMAN, Chelsea",Chelsea Fogleman ; illustrated by Lucy Yiu,Trumptech (Hong Kong) Limited,978-988-18300-2-9,,pbk.,,Unpriced,,,,,,Hong Kong,2009,8 p. : col. ill. ; 16 x 23 cm.,Learn with Phinnie sight & sound. K,
2009-04281,"Hello, Fran! what does Fran have?. 2",,English,"FOGLEMAN, Chelsea",Chelsea Fogleman ; illustrated by Lucy Yiu,Trumptech (Hong Kong) Limited,978-988-18300-4-3,,pbk.,,Unpriced,,,,,,Hong Kong,2009,8 p. : col. ill. ; 16 x 23 cm.,Learn with Phinnie sight & sound. Pre-K,
2009-04280,"Hello, Stan! What is that?. 1",,English,"FOGLEMAN, Chelsea",Chelsea Fogleman ; illustrated by Lucy Yiu,Trumptech (Hong Kong) Limited,978-988-18300-3-6,,pbk.,,Unpriced,,,,,,Hong Kong,2009,8 p. : col. ill. ; 16 x 23 cm.,Learn with Phinnie sight & sound. Pre-K,
2009-04282,Stan and the map. 1,,English,"FOGLEMAN, Chelsea",Chelsea Fogleman ; illustrated by Lucy Yiu,Trumptech (Hong Kong) Limited,978-988-18300-1-2,,pbk.,,Unpriced,,,,,,Hong Kong,2009,8 p. : col. ill. ; 16 x 23 cm.,Learn with Phinnie sight & sound. K,
2009-03902,FOREFRONT GROUP LIMITED Forefront Group Limited annual report 2008,福方集團有限公司年報2008,English,,,Forefront Group Limited,,,,,,,,,,,Hong Kong,2009,124 p. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2009-04566,FOREVER be true : the love & heritage of Maryknoll,,English,,edited by Amy M.W. Ho,Maryknoll Convent School Foundation,978-988-17861-2-8,,,$,380.00,,,,,,Hong Kong,2009,239 p. : ill. (chiefly col.) ; 30 cm.,+ 1 DVD,
2009-05840,FOREVER be true : the love & heritage of Maryknoll,,English,,edited by Amy M.W. Ho,Maryknoll Convent School Foundation,978-988-17861-2-8,,,$,380.00,,,,,,Hong Kong,2009,239 p. : ill. (chiefly col.) ; 30 cm.,+ 1 DVD,2nd ed.
2009-04201,FOSUN INTERNATIONAL LIMITED Fosun International Limited annual report 2008,,English,,,Fosun International Limited,,,,,,,,,,,Hong Kong,2009,"180 p. : col. ill., col. ports, chart ; 29 cm.",Glossary Unpriced (pbk.),
2009-05202,The French lieutenant’s woman,,English,John Fowles,,Pearson Education Limited,978-1-4082-1728-3,,pbk.,,Unpriced,,,,,,Essex,2009,168 p. ; 21 cm.,York notes advanced,
2009-05074,Through the looking glass : China’s foreign journalists from Opium Wars to Mao,,English,Paul French,,Hong Kong University Press,978-962-209-982-1,,,$,250.00,,,,,,Hong Kong,2009,"viii, 302 p. ; 24 cm.",Includes bibliographical references and index,
2009-03010,FRIENDLY world,友誼世界,English,Orchid Children Books Production Company,,Chan Sheung Kee Book Company Limited,978-962-932-103-1,,,$,85.00,,,,,,Hong Kong,2009,unpaged : col. ill. ; 18 cm.,(Interactive learning changing room series ; 1) Text in Chinese and English,
2009-03011,FRUITS,水果,English,Orchid Children Books Production Company,,Chan Sheung Kee Book Company Limited,978-962-932-102-4,,,$,68.00,,,,,,Hong Kong,2009,Unpaged : col. ill. ; 18 cm.,(Interactive learning food series ; 1) Text in Chinese and English,
2009-04435,"FU, Chun Wai Happy Hong Kong",鬼馬香港,English,,photographs by Fu Chun Wai,Hulu Concept Limited,978-988-98014-7-2,,,$,78.00,,,,,,Hong Kong,2009,unpaged : ill. (with colour) ; 16 x 23 cm.,Text in Chinese and English,
2009-02696,"FU, Flora Li Tsui Framing famous mountains : grand tour and Mingshan paintings in sixteenth-century China",,English,Fu Flora Li Tsui,,The Chinese University Press,978-962-996-329-3,,,$,330.00,,,,,,Hong Kong,2009,"xxiv, 282 p. : ill. (some col.) ; 24 cm.",Glossary Includes bibliographical references and index Text partially in Chinese,
2009-03295,FUFENG GROUP LIMITED Fufeng Group Limited annual report 2008,阜豐集團有限公司年報2008,English,,,Fufeng Group Limited,,,,,,,,,,,Hong Kong,2009,"104, 104 p. : charts ; 29 cm.",Glossary Text in Chinese and English Unpriced (pbk.),
2009-04325,FUSHAN INTERNATIONAL ENERGY GROUP LIMITED Fushan International Energy Group Limited annual report 2008,福山國際能源集團有限公司年報2008,English,,,Fushan International Energy Group Limited,,,,,,,,,,,Hong Kong,2009,"114, 114 p. : col. ill., col. maps, col. charts ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-04298,FUTURE BRIGHT HOLDINGS LIMITED Future Bright Holdings Limited annual report 2008,佳景集團有限公司年報2008,English,,,Future Bright Holdings Limited,,,,,,,,,,,Hong Kong,2009,108 p. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2009-03731,G-PROP (HOLDINGS) LIMITED G-Prop (Holdings) Limited annual report 2008,金匡企業有限公司2008年年報,English,,,G-Prop (Holdings) Limited,,,,,,,,,,,Hong Kong,2009,120 p. ; 30 cm.,Text in Chinese and English Unpriced (pbk.),
2009-04313,GALAXY SEMI-CONDUCTOR HOLDINGS LIMITED Galaxy Semi-Conductor Holdings Limited annual report 2008,銀河半導體控股有限公司年報2008,English,,,Galaxy Semi- Conductor Holdings Limited,,,,,,,,,,,Hong Kong,2009,"102, 102 p. ; charts ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-05028,"GARCIA, J. Neil C. Philippine gay culture : Binabae to Bakla, Silahis to MSM",,English,J. Neil C. Garcia,,Hong Kong University Press,978-962-209-985-2,,pbk.,$,195.00,,,,,,Hong Kong,2009,"xxv, 536 p. ; 23 cm.",Includes bibliographical references and index,
2009-03872,GEELY AUTOMOBILE HOLDINGS LIMITED Geely Automobile Holdings Limited annual report 2008,,English,,,Geely Automobile Holdings Limited,,,,,,,,,,,Hong Kong,2009,"112 p. : col. ill., map, charts ; 29 cm.",Unpriced (pbk.),
2009-04622,GIORDANO INTERNATIONAL LIMITED Giordano International Limited annual report 2008,佐丹奴國際有限公司2008年報,English,,,Giordano International Limited,,,,,,,,,,,Hong Kong,2009,160 p. ; 28 cm.,Text in Chinese and English Unpriced (pbk.),
2009-04336,GLOBAL BIO-CHEM TECHNOLOGY GROUP COMPANY LIMITED Global Bio-Chem Technology Group Company Limited annual report 2008,大成生化科技集團有限公司年報2008,English,,,Global Bio-Chem Technology Group Company Limited,,,,,,,,,,,Hong Kong,2009,"96, 96 p. : col. charts ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-03304,GLOBAL DIGITAL CREATIONS HOLDINGS LIMITED Global Digital Creations Holdings Limited annual report 2008,環球數碼創意控股有限公司年報2008,English,,,Global Digital Creations Holdings Limited,,,,,,,,,,,Hong Kong,2009,"114, 114 p. : col. ill., charts ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-05208,"GLOBAL energy 2008-2009 : a world in transition, a geopolitical survey by ILS Energy",,English,,edited Stephen C. Roh,Global Publication Company,978-988-17589-7-2,,,,Unpriced,,,,,,Hong Kong,2009,"194 p. : col. maps, col. charts ; 24 cm.",,
2009-04295,GLOBAL GREEN TECH GROUP LIMITED Global Green Tech Group Limited annual report 2008,高寶綠色科技集團有限公司2008年報,English,,,Global Green Tech Group Limited,,,,,,,,,,,Hong Kong,2009,"96, 96 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-04773,GLOBAL SWEETENERS HOLDINGS LIMITED Global Sweeteners Holdings Limited annual report 2008,大成糖業控股有限公司年報2008,English,,,Global Sweeteners Holdings Limited,,,,,,,,,,,Hong Kong,2009,"96, 96 p. : col. charts ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-04347,GOLDEN RESORTS GROUP LIMITED Golden Resorts Group Limited annual report 2008,黃金集團有限公司年報2008,English,,,Golden Resorts Group Limited,,,,,,,,,,,Hong Kong,2009,"88, 88 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-04592,GOME ELECTRICAL APPLIANCES HOLDINGS LIMITED Gome Electrical Appliances Holdings Limited annual report 2008,,English,,,Gome Electrical Appliances Holding Limited,,,,,,,,,,,Hong Kong,2009,"184 p. : col. ill., col. ports, map ; col. charts ; 29 cm.",Unpriced (pbk.),
2009-02772,GOOD manners,,English,,,Crystal Education Publications,978-962-994-571-8,,pbk.,$,20.00,,,,,,Hong Kong,2008,13 p. : col. ill. ; 21 cm.,Rainbow cartoons,
2009-03982,Yunnan : China south of the clouds,,English,"GOODMAN, Jim",by Jim Goodman,Airphoto International Limited,978-962-217-775-8,,pbk.,$,259.00,,,,,,Hong Kong,2009,"623 p. : ill. (chiefly col.), maps ; 21 cm.",Includes index,
2009-04355,THE GRANDE HOLDINGS LIMITED The Grande Holdings Limited annual report 2008,,English,,,The Grande Holdings Limited,,,,,,,,,,,Hong Kong,2009,88 p. ; 28 cm.,Unpriced (pbk.),
2009-03624,GREAT CHINA HOLDINGS LIMITED Great China Holdings Limited annual report 2008,大中華集團有限公司年報2008,English,,,Great China Holdings Limited,,,,,,,,,,,Hong Kong,2009,"98, 98 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-03364,GREAT EAGLE HOLDINGS LIMITED Great Eagle Holdings Limited annual report 2008,鷹君集團有限公司二零零八年年報,English,,,Great Eagle Holdings Limited,,,,,,,,,,,Hong Kong,2009,248 p. : col. ill. ; 28 cm.,Text in Chinese and English Unpriced (pbk.),
2009-02786,"GREAT EAGLE HOLDINGS LIMITED Great Eagle Holdings Limited connected transaction, 24 March 2009","鷹君集團有限公司關連交易, 2009年3月24日",English,,,Great Eagle Holdings Limited,,,,,,,,,,,Hong Kong,2009,"23, 23 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2009-03363,"GREAT EAGLE HOLDINGS LIMITED Great Eagle Holdings Limited general mandates to repurchase and to issue shares, re-election of retiring directors, proposed adoption of new share option scheme and termination of the operation of the existing share option scheme, adoption of Chinese name as secondary name and notice of 2009 annual general meeting, 14 April 2009","鷹君集團有限公司購回及發行股份一般性授權,選退任董事,建議採納新購股期權計劃及終止現行購股期權計劃之運作,採納中文名稱為副名及2009年股東週年大會報告, 2009年4月14日",English,,,Great Eagle Holdings Limited,,,,,,,,,,,Hong Kong,2009,"30, 30 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2009-04610,GREATER CHINA HOLDINGS LIMITED Greater China Holdings Limited annual report 2008,大中華實業控股有限公司二零零八年年報,English,,,Greater China Holdings Limited,,,,,,,,,,,Hong Kong,2009,"64, 64 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-04331,GREEN GLOBAL RESOURCES LIMITED Green Global Resources Limited annual report 2008,綠色環球資源有限公司年報2008,English,,,Green Global Resources Limited,,,,,,,,,,,Hong Kong,2009,"132 p. : col. ill., port, chart ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-04343,GUANGDONG INVESTMENT LIMITED Guangdong Investment Limited annual report 2008,粵海投資有限公司年報2008,English,,,Guangdong Investment Limited,,,,,,,,,,,Hong Kong,2009,"156, 156 p. : col. ill., col. ports, col. charts ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-04602,"GUANGDONG INVESTMENT LIMITED Guangdong Investment Limited general mandates for the repurchase of shares and the issue of shares, re-election of directors, amendments to the articles of association and notice of annual general meeting, 30 April 2009","粵海投資有限公司購回股份及發行股份的一般授權重選董事修訂組織章程細則及股東週年大會通告, 2009年4月30日",English,,,Guangdong Investment Limited,,,,,,,,,,,Hong Kong,2009,"20, 20 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-04340,GUANGDONG TANNERY LIMITED Guangdong Tannery Limited annual report 2008,粵海制革有限公司2008年年報,English,,,Guangdong Tannery Limited,,,,,,,,,,,Hong Kong,2009,"96, 96 p. : ill. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
