serial,title_eng,title_chi,language,author,detailed_authorship,publisher,ISBN_1,ISSN_1,medium_1,price_1_currency,price_1,ISBN_2,ISSN_2,medium_2,price_2_currency,price_2,location_of_publication,year_of_publication,format,details,edition
2013-03707,,我愛學語文. 4下,Chinese,,余婉兒蘇潔玉主編,教育出版社有限公司澳門版,978-962-12-8763-2,,,,,,,,,,香港,2013,,,
2013-03700,,我愛學語文. 5上,Chinese,,余婉兒蘇潔玉主編,教育出版社有限公司澳門版,978-962-12-8764-9,,,,,,,,,,香港,2013,,,
2013-03708,,我愛學語文. 5下,Chinese,,余婉兒蘇潔玉主編,教育出版社有限公司澳門版,978-962-12-8765-6,,,,,,,,,,香港,2013,,,
2013-03701,,我愛學語文. 6上,Chinese,,余婉兒蘇潔玉主編,教育出版社有限公司澳門版,978-962-12-8766-3,,,,,,,,,,香港,2013,,,
2013-03709,,我愛學語文. 6下,Chinese,,余婉兒蘇潔玉主編,教育出版社有限公司澳門版,978-962-12-8767-0,,,,,,,,,,香港,2013,,,
2013-03672,,我愛學語文工作紙. 1上,Chinese,,,教育出版社有限公司澳門版,978-988-225-905-8,,,,,,,,,,香港,2013,,,
2013-03678,,"我愛學語文工作紙. 1上,教師用書",Chinese,,,教育出版社有限公司澳門版,978-988-225-917-1,,,,,,,,,,香港,2013,,,
2013-03673,,我愛學語文工作紙. 2上,Chinese,,,教育出版社有限公司澳門版,978-988-225-907-2,,,,,,,,,,香港,2013,,,
2013-03679,,"我愛學語文工作紙. 2上,教師用書",Chinese,,,教育出版社有限公司澳門版,978-988-225-919-5,,,,,,,,,,香港,2013,,,
2013-03674,,我愛學語文工作紙. 3上,Chinese,,,教育出版社有限公司澳門版,978-988-225-909-6,,,,,,,,,,香港,2013,,,
2013-03680,,"我愛學語文工作紙. 3上,教師用書",Chinese,,,教育出版社有限公司澳門版,978-988-225-921-8,,,,,,,,,,香港,2013,,,
2013-03675,,我愛學語文工作紙. 4上,Chinese,,,教育出版社有限公司澳門版,978-988-225-911-9,,,,,,,,,,香港,2013,,,
2013-03681,,"我愛學語文工作紙. 4上,教師用書",Chinese,,,教育出版社有限公司澳門版,978-988-225-923-2,,,,,,,,,,香港,2013,,,
2013-03676,,我愛學語文工作紙. 5上,Chinese,,,教育出版社有限公司澳門版,978-988-225-913-3,,,,,,,,,,香港,2013,,,
2013-03682,,"我愛學語文工作紙. 5上,教師用書",Chinese,,,教育出版社有限公司澳門版,978-988-225-925-6,,,,,,,,,,香港,2013,,,
2013-03677,,我愛學語文工作紙. 6上,Chinese,,,教育出版社有限公司澳門版,978-988-225-915-7,,,,,,,,,,香港,2013,,,
2013-03683,,"我愛學語文工作紙. 6上,教師用書",Chinese,,,教育出版社有限公司澳門版,978-988-225-927-0,,,,,,,,,,香港,2013,,,
2013-03797,,我愛學語文中華基督教會蒙黃花沃紀念小學校本版. 1下,Chinese,,余婉兒蘇潔玉主編,教育出版社有限公司,978-988-225-611-8,,,$,59.00,,,,,,香港,2012,,附貼紙1張,
2013-03798,,我愛學語文中華基督教會蒙黃花沃紀念小學校本版. 2下,Chinese,,余婉兒蘇潔玉主編,教育出版社有限公司,978-988-225-613-2,,,$,72.50,,,,,,香港,2012,,附貼紙1張,
2013-03799,,我愛學語文中華基督教會蒙黃花沃紀念小學校本版. 3下,Chinese,,余婉兒蘇潔玉主編,教育出版社有限公司,978-988-225-615-6,,,$,59.00,,,,,,香港,2012,,,
2013-03800,,我愛學語文中華基督教會蒙黃花沃紀念小學校本版. 4下,Chinese,,余婉兒蘇潔玉主編,教育出版社有限公司,978-988-225-617-0,,,$,86.00,,,,,,香港,2012,,,
2013-03801,,我愛學語文中華基督教會蒙黃花沃紀念小學校本版. 5下,Chinese,,余婉兒蘇潔玉主編,教育出版社有限公司,978-988-225-619-4,,,$,86.00,,,,,,香港,2012,,,
2013-03802,,我愛學語文中華基督教會蒙黃花沃紀念小學校本版. 6下,Chinese,,余婉兒蘇潔玉主編,教育出版社有限公司,978-988-225-621-7,,,$,86.00,,,,,,香港,2012,,,
2013-03791,,我愛學語文中華基督教會蒙黃花沃紀念小學校本版作業. 1下,Chinese,,,教育出版社有限公司,978-988-225-623-1,,,$,34.00,,,,,,香港,2012,,,
2013-03792,,我愛學語文中華基督教會蒙黃花沃紀念小學校本版作業. 2下,Chinese,,,教育出版社有限公司,978-988-225-625-5,,,$,41.80,,,,,,香港,2012,,,
2013-03793,,我愛學語文中華基督教會蒙黃花沃紀念小學校本版作業. 3下,Chinese,,,教育出版社有限公司,978-988-225-627-9,,,$,34.00,,,,,,香港,2012,,,
2013-03794,,我愛學語文中華基督教會蒙黃花沃紀念小學校本版作業. 4下,Chinese,,,教育出版社有限公司,978-988-225-629-3,,,$,49.50,,,,,,香港,2012,,,
2013-03795,,我愛學語文中華基督教會蒙黃花沃紀念小學校本版作業. 5下,Chinese,,,教育出版社有限公司,978-988-225-631-6,,,$,49.50,,,,,,香港,2012,,,
2013-03796,,我愛學語文中華基督教會蒙黃花沃紀念小學校本版作業. 6下,Chinese,,,教育出版社有限公司,978-988-225-633-0,,,$,49.50,,,,,,香港,2012,,,
2013-03716,,我愛學語文中華基督教會灣仔堂基道小學校本工作紙. 1下第1冊,Chinese,,,教育出版社有限公司,978-988-225-588-3,,,$,20.00,,,,,,香港,2012,,,
2013-03717,,我愛學語文中華基督教會灣仔堂基道小學校本工作紙. 1下第2冊,Chinese,,,教育出版社有限公司,978-988-225-589-0,,,$,20.00,,,,,,香港,2012,,,
2013-03809,,我愛學語文中華基督教會灣仔堂基道小學校本工作紙. 2上第1冊,Chinese,,,教育出版社有限公司,978-988-225-590-6,,,$,20.00,,,,,,香港,2012,,,
2013-03810,,我愛學語文中華基督教會灣仔堂基道小學校本工作紙. 2上第2冊,Chinese,,,教育出版社有限公司,978-988-225-591-3,,,$,20.00,,,,,,香港,2012,,,
2013-03718,,我愛學語文中華基督教會灣仔堂基道小學校本工作紙. 2下第1冊,Chinese,,,教育出版社有限公司,978-988-225-592-0,,,$,20.00,,,,,,香港,2012,,,
2013-03719,,我愛學語文中華基督教會灣仔堂基道小學校本工作紙. 2下第2冊,Chinese,,,教育出版社有限公司,978-988-225-593-7,,,$,20.00,,,,,,香港,2012,,,
2013-03811,,我愛學語文中華基督教會灣仔堂基道小學校本工作紙. 3上第1冊,Chinese,,,教育出版社有限公司,978-988-225-594-4,,,$,20.00,,,,,,香港,2012,,,
2013-03812,,我愛學語文中華基督教會灣仔堂基道小學校本工作紙. 3上第2冊,Chinese,,,教育出版社有限公司,978-988-225-595-1,,,$,20.00,,,,,,香港,2012,,,
2013-03720,,我愛學語文中華基督教會灣仔堂基道小學校本工作紙. 3下第1冊,Chinese,,,教育出版社有限公司,978-988-225-596-8,,,$,20.00,,,,,,香港,2012,,,
2013-03721,,我愛學語文中華基督教會灣仔堂基道小學校本工作紙. 3下第2冊,Chinese,,,教育出版社有限公司,978-988-225-597-5,,,$,20.00,,,,,,香港,2012,,,
2013-03813,,我愛學語文中華基督教會灣仔堂基道小學校本工作紙. 4上第1冊,Chinese,,,教育出版社有限公司,978-988-225-598-2,,,$,20.00,,,,,,香港,2012,,,
2013-03814,,我愛學語文中華基督教會灣仔堂基道小學校本工作紙. 4上第2冊,Chinese,,,教育出版社有限公司,978-988-225-599-9,,,$,20.00,,,,,,香港,2012,,,
2013-03722,,我愛學語文中華基督教會灣仔堂基道小學校本工作紙. 4下第1冊,Chinese,,,教育出版社有限公司,978-988-225-600-2,,,$,20.00,,,,,,香港,2012,,,
2013-03723,,我愛學語文中華基督教會灣仔堂基道小學校本工作紙. 4下第2冊,Chinese,,,教育出版社有限公司,978-988-225-601-9,,,$,20.00,,,,,,香港,2012,,,
2013-03815,,我愛學語文中華基督教會灣仔堂基道小學校本工作紙. 5上第1冊,Chinese,,,教育出版社有限公司,978-988-225-602-6,,,$,20.00,,,,,,香港,2012,,,
2013-03816,,我愛學語文中華基督教會灣仔堂基道小學校本工作紙. 5上第2冊,Chinese,,,教育出版社有限公司,978-988-225-603-3,,,$,20.00,,,,,,香港,2012,,,
2013-03724,,我愛學語文中華基督教會灣仔堂基道小學校本工作紙. 5下第1冊,Chinese,,,教育出版社有限公司,978-988-225-604-0,,,$,20.00,,,,,,香港,2012,,,
2013-03725,,我愛學語文中華基督教會灣仔堂基道小學校本工作紙. 5下第2冊,Chinese,,,教育出版社有限公司,978-988-225-605-7,,,$,20.00,,,,,,香港,2012,,,
2013-03817,,我愛學語文中華基督教會灣仔堂基道小學校本工作紙. 6上第1冊,Chinese,,,教育出版社有限公司,978-988-225-606-4,,,$,20.00,,,,,,香港,2012,,,
2013-03818,,我愛學語文中華基督教會灣仔堂基道小學校本工作紙. 6上第2冊,Chinese,,,教育出版社有限公司,978-988-225-607-1,,,$,20.00,,,,,,香港,2012,,,
2013-03726,,我愛學語文中華基督教會灣仔堂基道小學校本工作紙. 6下第1冊,Chinese,,,教育出版社有限公司,978-988-225-608-8,,,$,20.00,,,,,,香港,2012,,,
2013-03727,,我愛學語文中華基督教會灣仔堂基道小學校本工作紙. 6下第2冊,Chinese,,,教育出版社有限公司,978-988-225-609-5,,,$,20.00,,,,,,香港,2012,,,
2013-03784,,我愛學語文全港性系統評估及中一入學前香港學科測驗模擬試卷.第2輯,Chinese,,,教育出版社有限公司,978-962-12-8794-6,,,$,100.00,,,,,,香港,2012,,,
2013-03684,,我愛學語文作業. 1上,Chinese,,,教育出版社有限公司澳門版,978-962-12-8917-9,,,,,,,,,,香港,2013,,附語文知識溫習冊及貼紙1張,
2013-03690,,"我愛學語文作業. 1上,教師用書",Chinese,,,教育出版社有限公司澳門版,978-962-12-8929-2,,,,,,,,,,香港,2013,,附語文知識溫習冊及貼紙1張,
2013-03685,,我愛學語文作業. 2上,Chinese,,,教育出版社有限公司澳門版,978-962-12-8919-3,,,,,,,,,,香港,2013,,附語文知識溫習冊及貼紙1張,
2013-03691,,"我愛學語文作業. 2上,教師用書",Chinese,,,教育出版社有限公司澳門版,978-962-12-8931-5,,,,,,,,,,香港,2013,,附語文知識溫習冊及貼紙1張,
2013-03686,,我愛學語文作業. 3上,Chinese,,,教育出版社有限公司澳門版,978-962-12-8921-6,,,,,,,,,,香港,2013,,附語文知識溫習冊,
2013-03692,,"我愛學語文作業. 3上,教師用書",Chinese,,,教育出版社有限公司澳門版,978-962-12-8933-9,,,,,,,,,,香港,2013,,附語文知識溫習冊,
2013-03687,,我愛學語文作業. 4上,Chinese,,,教育出版社有限公司澳門版,978-962-12-8923-0,,,,,,,,,,香港,2013,,附語文知識溫習冊,
2013-03693,,"我愛學語文作業. 4上,教師用書",Chinese,,,教育出版社有限公司澳門版,978-962-12-8935-3,,,,,,,,,,香港,2013,,附語文知識溫習冊,
2013-03688,,我愛學語文作業. 5上,Chinese,,,教育出版社有限公司澳門版,978-962-12-8925-4,,,,,,,,,,香港,2013,,附語文知識溫習冊,
2013-03694,,"我愛學語文作業. 5上,教師用書",Chinese,,,教育出版社有限公司澳門版,978-962-12-8937-7,,,,,,,,,,香港,2013,,附語文知識溫習冊,
2013-03689,,我愛學語文作業. 6上,Chinese,,,教育出版社有限公司澳門版,978-962-12-8927-8,,,,,,,,,,香港,2013,,附語文知識溫習冊,
2013-03695,,"我愛學語文作業. 6上,教師用書",Chinese,,,教育出版社有限公司澳門版,978-962-12-8939-1,,,,,,,,,,香港,2013,,附語文知識溫習冊,
2013-03766,,我愛學語文備課手冊. 1下第1冊,Chinese,,,教育出版社有限公司,978-962-12-8674-1,,,,,,,,,,香港,2012,,,
2013-03767,,我愛學語文備課手冊. 1下第2冊,Chinese,,,教育出版社有限公司,978-962-12-8675-8,,,,,,,,,,香港,2012,,,
2013-03768,,我愛學語文備課手冊. 2下第1冊,Chinese,,,教育出版社有限公司,978-962-12-8678-9,,,,,,,,,,香港,2012,,,
2013-03769,,我愛學語文備課手冊. 2下第2冊,Chinese,,,教育出版社有限公司,978-962-12-8679-6,,,,,,,,,,香港,2012,,,
2013-03770,,我愛學語文備課手冊. 3下第1冊,Chinese,,,教育出版社有限公司,978-962-12-8682-6,,,,,,,,,,香港,2012,,,
2013-03771,,我愛學語文備課手冊. 3下第2冊,Chinese,,,教育出版社有限公司,978-962-12-8683-3,,,,,,,,,,香港,2012,,,
2013-03772,,我愛學語文備課手冊. 4下第1冊,Chinese,,,教育出版社有限公司,978-962-12-8686-4,,,,,,,,,,香港,2012,,,
2013-03773,,我愛學語文備課手冊. 4下第2冊,Chinese,,,教育出版社有限公司,978-962-12-8687-1,,,,,,,,,,香港,2012,,,
2013-03774,,我愛學語文備課手冊. 5下第1冊,Chinese,,,教育出版社有限公司,978-962-12-8690-1,,,,,,,,,,香港,2012,,,
2013-03775,,我愛學語文備課手冊. 5下第2冊,Chinese,,,教育出版社有限公司,978-962-12-8691-8,,,,,,,,,,香港,2012,,,
2013-03776,,我愛學語文備課手冊. 6下第1冊,Chinese,,,教育出版社有限公司,978-962-12-8694-9,,,,,,,,,,香港,2012,,,
2013-03777,,我愛學語文備課手冊. 6下第2冊,Chinese,,,教育出版社有限公司,978-962-12-8695-6,,,,,,,,,,香港,2012,,,
2013-03669,,我愛學語文寫字工作紙. 1上,Chinese,,,教育出版社有限公司澳門版,978-988-225-929-4,,,$,10.00,,,,,,香港,2013,,,
2013-03785,,我愛學語文寫字工作紙. 1下第1冊,Chinese,,,教育出版社有限公司,978-962-12-9017-5,,,$,10.00,,,,,,香港,2012,,,
2013-03786,,我愛學語文寫字工作紙. 1下第2冊,Chinese,,,教育出版社有限公司,978-962-12-9018-2,,,$,10.00,,,,,,香港,2012,,,
2013-03670,,我愛學語文寫字工作紙. 2上,Chinese,,,教育出版社有限公司澳門版,978-988-225-931-7,,,$,10.00,,,,,,香港,2013,,,
2013-03787,,我愛學語文寫字工作紙. 2下第1冊2011香港教育出版社有限公司,Chinese,,,,978-962-12-9021-2,,,$,10.00,,,,,,,,,,
2013-03788,,我愛學語文寫字工作紙. 2下第2冊2011香港教育出版社有限公司,Chinese,,,,978-962-12-9022-9,,,$,10.00,,,,,,,,,,
2013-03671,,我愛學語文寫字工作紙. 3上,Chinese,,,教育出版社有限公司澳門版,978-988-225-933-1,,,$,10.00,,,,,,香港,2013,,,
2013-03789,,我愛學語文寫字工作紙. 3下第1冊2011香港教育出版社有限公司,Chinese,,,,978-962-12-9025-0,,,$,10.00,,,,,,,,,,
2013-03790,,我愛學語文寫字工作紙. 3下第2冊2011香港教育出版社有限公司,Chinese,,,,978-962-12-9026-7,,,$,10.00,,,,,,,,,,
2013-03778,,我愛學語文題目庫. 1下,Chinese,,,教育出版社有限公司,978-962-12-8782-3,,,$,300.00,,,,,,香港,2012,,附唯讀記憶光碟1隻,
2013-03779,,我愛學語文題目庫. 2下,Chinese,,,教育出版社有限公司,978-962-12-8784-7,,,$,300.00,,,,,,香港,2012,,附唯讀記憶光碟1隻,
2013-03780,,我愛學語文題目庫. 3下,Chinese,,,教育出版社有限公司,978-962-12-8786-1,,,$,300.00,,,,,,香港,2012,,附唯讀記憶光碟1隻,
2013-03781,,我愛學語文題目庫. 4下,Chinese,,,教育出版社有限公司,978-962-12-8788-5,,,$,300.00,,,,,,香港,2012,,附唯讀記憶光碟1隻,
2013-03782,,我愛學語文題目庫. 5下,Chinese,,,教育出版社有限公司,978-962-12-8790-8,,,$,300.00,,,,,,香港,2012,,附唯讀記憶光碟1隻,
2013-03783,,我愛學語文題目庫. 6下,Chinese,,,教育出版社有限公司,978-962-12-8792-2,,,$,300.00,,,,,,香港,2012,,附唯讀記憶光碟1隻,
2013-05183,,抗戰前香港華人文化之發展(1931-1937),Chinese,周正偉,周正偉著,香港大學中國歷史研究文學碩士課程同學會,978-988-19442-3-8,,,,,,,,,,香港,2012,,,
2013-04434,,抗膽固醇營養師新煮意,Chinese,張翠芬林思為劉碧珊編,張翠芬林思為劉碧珊編著,跨版生活圖書出版,978-988-16600-2-2,,,$,78.00,,,,,,香港,2013,21厘米163頁彩色插圖,中英對照,
2013-05451,Hide and seek : first words,找一找:第一個要學的字,Chinese,,王燕參編,新雅文化事業有限公司,978-962-08-5574-0,,精裝,$,55.00,,,,,,香港,2012,31厘米49頁彩色插圖,,
2013-06474,,改革先驅胡耀邦,Chinese,許保家,許保家著,天地圖書有限公司,978-988-219-888-3,,,$,108.00,,,,,,香港,2013,,,
2013-06481,,改革的年代: 1977-1989年紅色的大陸,Chinese,張萬舒,張萬舒著,天地圖書有限公司,978-988-219-872-2,,,$,138.00,,,,,,香港,2013,,中國航船; 3,
2013-04555,"Life’ s healing choices : freedom from your hurts, hang-ups and habits",改變人生拼圖:小組錄影課程手冊: 8個抉擇使你得醫治更新,Chinese,Rick Warren,Rick Warren著曾幼欣譯,福音證主協會,978-988-16118-4-0,,,$,60.00,,,,,,香港,2013,,,
2013-07389,Selected poems of Li Ziliang,李子良短詩選,Chinese,李子良,李子良著萬明子譯,銀河出版社,978-962-475-896-2,,,$,30.00,,,,,,香港,2012,18厘米79頁,中英對照,
2013-06184,,李克強的外交風采,Chinese,,範希周編,天地之窗出版有限公司,978-988-12243-1-6,,,$,180.00,,,,,,香港,2013,,,
2013-07383,Selected poems of Li Huang,李晃短詩選,Chinese,李晃,李晃著肖喆譯2011香港銀河出版社,,978-962-475-875-7,,,$,30.00,,,,,,,,18厘米79頁,中英對照,
2013-07378,Selected poems of Li Ran,李然短詩選,Chinese,李然,李然著北塔譯2011香港銀河出版社,,978-962-475-864-1,,,$,30.00,,,,,,,,18厘米79頁,中英對照,
2013-07379,Selected poems of Li Yun,李雲短詩選,Chinese,李雲,李雲著許志培譯2011香港銀河出版社,,978-962-475-865-8,,,$,30.00,,,,,,,,18厘米79頁,中英對照,
2013-05228,,李道祥書畫作品集,Chinese,,,普藝出版社有限公司,978-988-15288-8-9,,,$,80.00,,,,,,香港,2013,,,
2013-07384,Selected poems of Li Xun,李潯短詩選,Chinese,李潯,李潯著北塔譯2011香港銀河出版社,,978-962-475-877-1,,,$,30.00,,,,,,,,18厘米79頁,中英對照,
2013-07354,,李叢中自選集:圭山的火把2010香港銀河出版社,Chinese,,,,978-962-475-840-5,,,$,50.00,,,,,,,,,漢語新詩庫; 9,
2013-06194,,李韡玲:天然美容養生精選,Chinese,李韡玲,李韡玲著,經濟日報出版社第4版,978-962-678-740-3,,,$,68.00,,,,,,香港,2013,,李韡玲美容系列,
2013-05727,,每度！愛生事家庭. 4,Chinese,浜岡賢次,浜岡賢次著袁小希譯,玉皇朝出版有限公司香港中文版,978-988-8168-11-8,,,$,30.00,,,,,,香港,2012,,,
2013-05728,,每度！愛生事家庭. 5,Chinese,浜岡賢次,浜岡賢次著袁小希譯,玉皇朝出版有限公司香港中文版,978-988-8168-61-3,,,$,30.00,,,,,,香港,2012,,,
2013-05729,,每度！愛生事家庭. 6,Chinese,浜岡賢次,浜岡賢次著袁小希譯,玉皇朝出版有限公司香港中文版,978-988-8169-42-9,,,$,30.00,,,,,,香港,2013,,,
2013-04724,Summoned at every age : finding god in our later years,每個年齡都被傳喚:在人生最後的歲月尋找天主,Chinese,Peter G. van Breemen,Peter G. van Breemen著廖信堅譯,公教真理學會,978-988-8150-21-2,,,$,58.00,,,,,,香港,2013,,,
2013-06367,,決戰三國:決定權力分裂的三大戰役,Chinese,,徐楓主編,三聯書店(香港)有限公司,978-962-04-3334-4,,,$,98.00,,,,,,香港,2013,,歷史群像,
2013-05826,Okinawa,沖繩(琉球),Chinese,,孫啟元編,郭良蕙新事業有限公司2014,978-988-8202-39-3,,,$,88.00,,,,,,香港,2013,,自由行,
2013-04710,,沙田區中學生期盼親子間的十句關心說話:調查報告書2012陳沃聰梁錦添研究,Chinese,,,香港理工大學,978-962-367-763-9,,,,,,,,,,香港,2013,,,
2013-06185,,男人十日談:關於十個男人一百個精彩的故事,Chinese,黑星人,黑星人著,香港文學報社出版公司,978-962-962-349-4,,,$,50.00,,,,,,香港,2013,,內容以簡體字排版,
2013-04787,,男人那點心思，女人那點心計,Chinese,蘇芩,蘇芩著,皇冠出版社(香港)有限公司,978-988-216-286-0,,,$,88.00,,,,,,香港,2013,,香港皇冠叢書;第1248種,
2013-05147,,男人最強,Chinese,葉維晉,葉維晉著,升出版有限公司,978-988-15058-2-8,,,$,88.00,,,,,,香港,2013,,,
2013-05220,,肝癌,Chinese,程劍華編,程劍華編著,靈蘭閣圖書國際公司,978-988-17784-9-9,,,$,86.00,,,,,,香港,2013,"21厘米viii, 207頁插圖(程劍華中醫腫瘤臨床驗案.中醫論治十大",,
2013-06500,,"良人.上篇,續弦也可以",Chinese,梅貝兒,梅貝兒著,星河出版社,978-988-219-913-2,,,$,40.00,,,,,,香港,2013,,尋夢園系列; 1588,
2013-06501,,"良人.下篇,嫁夫當隨夫",Chinese,梅貝兒,梅貝兒著,星河出版社,978-988-219-914-9,,,$,40.00,,,,,,香港,2013,,尋夢園系列; 1589,
2013-07064,,初中中國語文單元評估. 3. 1上2010香港香港教育圖書公司,Chinese,,,,978-988-8079-31-5,,,,,,,,,,,,,附唯讀記憶光碟1隻,
2013-07065,,初中中國語文單元評估. 3. 2上2010香港香港教育圖書公司,Chinese,,,,978-988-8079-32-2,,,,,,,,,,,,,附唯讀記憶光碟1隻,
2013-07066,,初中中國語文單元評估. 3. 3上2010香港香港教育圖書公司,Chinese,,,,978-988-8079-33-9,,,,,,,,,,,,,附唯讀記憶光碟1隻,
2013-07070,,初中中國語文總結性評估. 3. 1下2010香港香港教育圖書公司,Chinese,,,,978-988-8077-12-0,,,,,,,,,,,,,附唯讀記憶光碟1隻,
2013-07071,,初中中國語文總結性評估. 3. 2下2010香港香港教育圖書公司,Chinese,,,,978-988-8077-13-7,,,,,,,,,,,,,附唯讀記憶光碟1隻,
2013-07072,,初中中國語文總結性評估. 3. 3下2010香港香港教育圖書公司,Chinese,,,,978-988-8077-14-4,,,,,,,,,,,,,附唯讀記憶光碟1隻,
2013-07067,,初中中國語文總結性評估. 4. 1上2010香港香港教育圖書公司,Chinese,,,,978-988-8078-31-8,,,,,,,,,,,,,附唯讀記憶光碟1隻,
2013-07068,,初中中國語文總結性評估. 4. 2上2010香港香港教育圖書公司,Chinese,,,,978-988-8078-32-5,,,,,,,,,,,,,附唯讀記憶光碟1隻,
2013-07069,,初中中國語文總結性評估. 4. 3上2010香港香港教育圖書公司,Chinese,,,,978-988-8078-33-2,,,,,,,,,,,,,附唯讀記憶光碟1隻,
2013-04019,,"初中地理與生活活動作業.單元C3,從地理角度看疾病:面對一個正在蔓延的危機",Chinese,胡善為楊沛銘朱月翹,胡善為楊沛銘朱月翹著,時信出版(香港)有限公司,978-988-8131-71-6,,,,,,,,,,香港,2013,,,
2013-04033,,"初中地理與生活活動作業.單元C3,從地理角度看疾病:面對一個正在蔓延的危機.教師版",Chinese,胡善為楊沛銘朱月翹,胡善為楊沛銘朱月翹著,時信出版(香港)有限公司,978-988-8060-91-7,,,,,,,,,,香港,2013,,,
2013-04034,,"初中地理與生活評估教材套.單元A4,變化中的氣候和環境",Chinese,,,時信出版(香港)有限公司,978-988-226-260-7,,,,,,,,,,香港,2013,,,
2013-04035,,"初中地理與生活評估教材套.單元C1,製造業的全球轉移:機遇與威脅",Chinese,,,時信出版(香港)有限公司,978-988-226-262-1,,,,,,,,,,香港,2013,,,
2013-04032,,"初中地理與生活溫習問題庫.丙部,現今世界面對的挑戰:以可持續方式處理全球性議題.單元C1至C4",Chinese,,,時信出版(香港)有限公司,978-988-8131-80-8,,,,,,,,,,香港,2013,,,
2013-05223,,初中語文閱讀理解一點通. 1,Chinese,成千凡等編,成千凡等編著,滙知教育出版有限公司,978-988-16270-3-2,,,$,78.00,,,,,,香港,2013,,附參考答案冊,
2013-06789,,見證霄隆: “我與霄隆”五周年徵文選,Chinese,,小龍編,中國圖書出版社有限公司,978-988-8205-56-1,,,$,88.00,,,,,,香港,2013,,內容以簡體字排版,
2013-07221,,貝氏傳薪源流集,Chinese,,何中強編撰,香港童軍總會,978-962-7835-77-6,,,$,20.00,,,,,,香港,2013,,,
2013-03627,,赤壁煙草文集,Chinese,,張南方主編,現代文化出版社,978-988-15598-5-2,,,$,35.00,,,,,,香港,2012,,內容以簡體字排版,
2013-03823,,走出中世紀:從晚明至晚清的歷史斷想,Chinese,朱維錚,朱維錚著,香港中和出版有限公司,978-988-8200-25-2,,精裝,$,88.00,,,,,,香港,2013,,,
2013-04496,Couples in conflict : a family systems approach to marriage counseling,走出婚姻戰場:家庭系統法的婚姻輔導,Chinese,Ronald W. Richardson,Ronald W. Richardson著朱淑嫺譯,基督教文藝出版社有限公司,978-962-294-867-9,,,$,128.00,,,,,,香港,2013,,進深輔導叢書; 10,
2013-06513,,走出這一步為前途鋪路,Chinese,中原地產代理有限公司編,中原地產代理有限公司編著,中原出版社有限公司再版,978-988-17497-5-8,,,$,68.00,,,,,,香港,2013,,,
2013-03940,,走在時間的後頭,Chinese,朱偉,朱偉著,中國今日美術館出版社有限公司,978-988-12067-2-5,,,CNY,45.00,,,,,,香港,2013,,內容以簡體字排版,
2013-06904,,"足球小將海外激鬥篇. 6,邁向勝利之路",Chinese,高橋陽一,高橋陽一著梁家駿譯,文化傳信有限公司香港中文版,978-988-8114-84-9,,,$,35.00,,,,,,香港,2012,,,
2013-06269,Holistic magazine vol. 40香港香港身心健康中心有限公司,身心心理健康雜誌.超強版,Chinese,,,,,,,,,,,,,,,,27厘米82頁彩色插圖月刊,,
2013-05149,,那年我十四歲,Chinese,卓瑩,卓瑩著Christine E.T圖,山邊出版社有限公司,978-962-923-373-0,,,$,48.00,,,,,,香港,2012,,飛躍青春系列,
2013-07001,Manly who?,那個最Man的人原來是女人自己,Chinese,深雪,深雪著,青馬文化事業出版有限公司,978-988-8156-50-4,,,$,78.00,,,,,,香港,2013,,深雪作品; 62,
2013-05221,,乳腺癌,Chinese,程劍華編,程劍華編著,靈蘭閣圖書國際公司,978-988-17784-0-6,,,$,86.00,,,,,,香港,2013,"21厘米vii, 200頁插圖(程劍華中醫腫瘤臨床驗案.中醫論治十大",,
2013-06561,,來坐車,Chinese,,,幼兒教育出版社有限公司,978-962-989-436-8,,,$,44.00,,,,,,香港,2013,,開心學成長系列; 5,
2013-03765,,來說普通話:延伸單元,Chinese,,,教育出版社有限公司,978-988-225-321-6,,,,,,,,,,香港,2012,,,
2013-05417,,兔:天賦異能,Chinese,魏亞西,魏亞西著劉偉龍繪畫,新雅文化事業有限公司,978-962-08-5823-9,,,$,38.00,,,,,,香港,2013,,繪本中華故事.十二生肖,
2013-06712,,兔寶寶奇遇:基礎漢字500劇場版漫畫,Chinese,劉俐,劉俐著文浩基文珮珩繪圖,思展兒童文化社有限公司,978-988-16784-4-7,,,$,68.00,,,,,,香港,2013,,思展方程式,
2013-05752,,兒童彩色TV版蠟筆小新. 1臼井儀人原作綿引勝美谷山一樹文,Chinese,,李麗香譯,玉皇朝出版有限公司香港中文版,978-988-8168-36-1,,,$,20.00,,,,,,香港,2012,,,
2013-05753,,兒童彩色TV版蠟筆小新. 2臼井儀人原作綿引勝美谷山一樹文,Chinese,,李麗香譯,玉皇朝出版有限公司香港中文版,978-988-8168-37-8,,,$,20.00,,,,,,香港,2012,,,
2013-05754,,兒童彩色TV版蠟筆小新. 3臼井儀人原作綿引勝美谷山一樹文,Chinese,,李麗香譯,玉皇朝出版有限公司香港中文版,978-988-8168-47-7,,,$,20.00,,,,,,香港,2012,,,
2013-05755,,兒童彩色TV版蠟筆小新. 4臼井儀人原作綿引勝美谷山一樹文,Chinese,,李麗香譯,玉皇朝出版有限公司香港中文版,978-988-8168-48-4,,,$,20.00,,,,,,香港,2012,,,
